customer_id,timestamp,channel,raw_text,sentiment,sentiment_confidence,emotion,emotion_confidence,cluster,label,recommendation
1112,2026-05-01 20:21:00,Social Media (X/Twitter),The associate handling my checkout helped me find everything instantly highly recommend this location.,positive,0.9994133710861206,joy,0.5296657681465149,0,Staff,Reinforce good service practices and reward staff members for their hard work.
1359,2026-05-01 13:09:00,Social Media (X/Twitter),The online availability tracker were fully stocked with fresh products which is fine for a routine shopping trip.,neutral,0.7230466604232788,neutral,0.7361800670623779,1,Inventory,Improve availability by aligning online listings with real stock and capitalize on social media trends.
1271,2026-05-01 15:54:00,Social Media (X/Twitter),The main display in the center aisle had a few standard options available found exactly what I came for.,neutral,0.9964410662651062,neutral,0.9219479560852051,1,Inventory,Improve availability by aligning online listings with real stock and capitalize on social media trends.
1050,2026-05-01 13:29:00,Social Media (X/Twitter),The mobile app cart page is incredibly intuitive and clean completed the task as expected.,positive,0.9978005290031433,neutral,0.806087851524353,2,Technology,Improve reliability and error recovery paths.
1264,2026-05-02 12:19:00,Social Media (X/Twitter),The digital checkout screen would not let me proceed forcing me to restart my device entirely.,negative,0.9987572431564331,sadness,0.37659555673599243,2,Technology,Improve reliability and error recovery paths.
1334,2026-05-02 16:26:00,Social Media (X/Twitter),The order confirmation system didn't show updated tracking forcing me to contact support repeatedly.,negative,0.9989639520645142,neutral,0.629237711429596,3,Delivery,Continue monitoring customer feedback.
1279,2026-05-03 14:23:00,Social Media (X/Twitter),The floor staff working today processed my request routinely highly recommend this location.,positive,0.9551361203193665,neutral,0.8143256306648254,0,Staff,Reinforce good service practices and reward staff members for their hard work.
1273,2026-05-03 09:59:00,Social Media (X/Twitter),The customer service representative was working at an average pace with no issues to report.,neutral,0.9973969459533691,neutral,0.8864479660987854,0,Staff,Reinforce good service practices and reward staff members for their hard work.
1081,2026-05-03 10:38:00,Social Media (X/Twitter),The standard delivery transit timeframe updated tracking alerts in real-time will absolutely order online again.,neutral,0.9988419413566589,neutral,0.8299746513366699,3,Delivery,Continue monitoring customer feedback.
1352,2026-05-03 08:42:00,Social Media (X/Twitter),The mobile app cart page refused to read my barcode input leaving me stuck at checkout.,negative,0.9989363551139832,anger,0.5097772479057312,2,Technology,Improve reliability and error recovery paths.
1039,2026-05-03 09:21:00,Social Media (X/Twitter),The standard delivery transit timeframe took fourteen days longer than promised and my credit card was already billed.,negative,0.9980206489562988,neutral,0.36861538887023926,3,Delivery,Continue monitoring customer feedback.
1363,2026-05-03 15:38:00,Social Media (X/Twitter),The online availability tracker had a few standard options available which is fine for a routine shopping trip.,neutral,0.9982411861419678,neutral,0.9690172672271729,1,Inventory,Improve availability by aligning online listings with real stock and capitalize on social media trends.
1144,2026-05-04 14:18:00,Social Media (X/Twitter),The cashier at the front counter handled a tough situation beautifully definitely coming back because of them!,positive,0.9994458556175232,neutral,0.4820183217525482,0,Staff,Reinforce good service practices and reward staff members for their hard work.
1028,2026-05-04 09:57:00,Social Media (X/Twitter),The associate handling my checkout helped me find everything instantly highly recommend this location.,positive,0.9994133710861206,joy,0.5296657681465149,0,Staff,Reinforce good service practices and reward staff members for their hard work.
1017,2026-05-04 12:24:00,Social Media (X/Twitter),The order confirmation system arrived incredibly fast and ahead of schedule could not ask for a better delivery experience.,positive,0.9995619654655457,neutral,0.4949289858341217,3,Delivery,Continue monitoring customer feedback.
1286,2026-05-04 16:09:00,Social Media (X/Twitter),"The customer service representative was incredibly polite and welcoming just a normal, standard interaction.",positive,0.9988142251968384,neutral,0.7380223870277405,0,Staff,Reinforce good service practices and reward staff members for their hard work.
1158,2026-05-05 18:38:00,Social Media (X/Twitter),The physical shelves for the new collection were fully stocked with fresh products found exactly what I came for.,positive,0.9314290285110474,neutral,0.7113097310066223,1,Inventory,Improve availability by aligning online listings with real stock and capitalize on social media trends.
1155,2026-05-05 15:37:00,Social Media (X/Twitter),The online availability tracker did not match what was advertised why bother advertising a major sale if you have no stock?,negative,0.9989030361175537,neutral,0.3772059977054596,1,Inventory,Improve availability by aligning online listings with real stock and capitalize on social media trends.
1033,2026-05-05 13:22:00,Social Media (X/Twitter),The physical shelves for the new collection had a few standard options available lots of great variety to choose from today.,neutral,0.9760444164276123,neutral,0.8867443799972534,1,Inventory,Improve availability by aligning online listings with real stock and capitalize on social media trends.
1152,2026-05-06 20:00:00,Social Media (X/Twitter),The associate handling my checkout stood around talking to coworkers which made the entire experience miserable.,negative,0.9991738200187683,disgust,0.7386346459388733,0,Staff,Reinforce good service practices and reward staff members for their hard work.
